,State,State URL Slug,Restrictive Category,Current Policies,Abortions Obtained in 2020,"Abortions per 1,000 WORA in 2020",Appx. Number of WORA,Abortion Clinics,Counties w/o Abortion Providers,% WORA w/o County Abortion Provider,% WORA Residents Non-US,% WORA Below FPL,% WORA: Hispanic,% WORA: Black,% WORA: White,% WORA: Asian,% WORA: Other,% WORA: 15-17 Years,% WORA: 18-19 Years,% WORA: 20-24 Years,% WORA: 25-29 Years,% WORA: 30-39 Years,% WORA: 40-49 Years,Avg. Distance (mi): 6 Weeks,Avg. Distance (mi): 12 Weeks,Avg. Distance (mi): 14 Weeks,Avg. Distance (mi): 20 Weeks,Avg. Distance (mi): 22 Weeks,Avg. Distance (mi): 24 Weeks,Avg. Distance (mi): 24+ Weeks
12,Idaho,idaho,Restrictive,"“Trigger” ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned  | Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy | Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion |State Medicaid coverage of abortion care is banned except in very limited circumstances | Private health insurance of abortion is banned except in very limited circumstances | Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals",1690,4.8,405000.0,3,95,67,6,34,15.0,1.0,77.0,2.0,6.0,9.0,6.0,15.0,15.0,29.0,26.0,,21.0,,36.0,286.0,,428.0
13,Illinois,illinois,Protective,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy |State Medicaid funds cover abortion |Private health insurance plans are required to cover abortion |Qualified health care professionals, not solely physicians, can provide abortions",52780,21.3,2900000.0,25,90,37,16,27,20.0,15.0,55.0,7.0,4.0,8.0,5.0,14.0,15.0,29.0,28.0,,7.0,,10.0,,26.0,266.0
14,Indiana,indiana,Restrictive,Abortion is banned at 22 weeks and later |Patients forced to make two trips—one for in-person counseling and another at least 18 hours later for the abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Private health insurance of abortion is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals |Medication abortion is restricted through unnecessary regulations |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,7880,6.0,1500000.0,6,96,70,7,32,8.0,11.0,74.0,3.0,4.0,8.0,6.0,16.0,14.0,29.0,27.0,,23.0,43.0,155.0,,174.0,235.0
15,Iowa,iowa,Restrictive,Abortion is banned at 22 weeks and later | Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals,3510,5.9,694000.0,8,93,58,8,31,8.0,5.0,79.0,3.0,4.0,9.0,6.0,15.0,15.0,29.0,26.0,,33.0,,47.0,170.0,229.0,252.0
16,Kansas,kansas,Restrictive,Abortion is banned at 22 weeks and later |Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Private health insurance of abortion is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit |Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Protections for patients and abortion clinic staff,8190,14.5,644000.0,4,98,61,9,31,13.0,5.0,71.0,4.0,6.0,9.0,6.0,16.0,15.0,27.0,27.0,,30.0,,,31.0,330.0,355.0
17,Kentucky,kentucky,Restrictive,“Trigger” ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned | Abortion is banned at 22 weeks and later |Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion |State Medicaid coverage of abortion care is banned except in very limited circumstances |Private health insurance of abortion is banned except in very limited circumstances |Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit |Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,4080,4.8,997000.0,1,99,82,5,35,4.0,8.0,81.0,2.0,5.0,8.0,6.0,15.0,14.0,28.0,29.0,99.0,,118.0,158.0,268.0,,274.0
18,Louisiana,louisiana,Restrictive,“Trigger” ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned | Abortion is banned at 22 weeks and later | State constitution explicitly excludes abortion rights |Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit |Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,7360,8.0,100000.0,4,94,72,5,39,6.0,35.0,53.0,2.0,5.0,8.0,5.0,14.0,16.0,31.0,26.0,,,37.0,71.0,525.0,638.0,673.0
19,Maine,maine,Protective,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy| State Medicaid funds cover abortion | Private health insurance plans are required to cover abortion | Qualified health care professionals, not solely physicians, can provide abortions | Protections for patients and abortion clinic staff",2370,10.1,270000.0,16,31,24,5,29,2.0,2.0,88.0,2.0,6.0,8.0,5.0,14.0,13.0,29.0,31.0,,12.0,25.0,32.0,,147.0,321.0
20,Maryland,maryland,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy| Parental consent or notice is required for a minor's abortion| Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards| State Medicaid funds cover abortion |Protections for patients and abortion clinic staff",30750,25.9,1400000.0,25,71,29,19,22,12.0,31.0,44.0,8.0,5.0,9.0,5.0,13.0,14.0,31.0,29.0,,6.0,,7.0,,15.0,29.0
21,Massachusetts,massachusetts,Some Restrictions/Protections,"Abortion is banned at 24 weeks and later |Parental consent or notice is required for a minor's abortion |State Medicaid funds cover abortion |Qualified health care professionals, not solely physicians, can provide abortions| Protections for patients and abortion clinic staff",17060,12.2,1600000.0,19,43,13,20,22,14.0,7.0,64.0,9.0,5.0,7.0,6.0,15.0,15.0,29.0,26.0,,8.0,,9.0,13.0,23.0,180.0
22,Michigan,michigan,Some Restrictions/Protections,"Pre-Roe abortion ban is still in place and can be enforced if Roe is overturned |Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy |Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion |State Medicaid coverage of abortion care is banned except in very limited circumstances |Private health insurance of abortion is banned except in very limited circumstances |Parental consent or notice is required for a minor's abortion| Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards |Protections for patients and abortion clinic staff",31510,16.8,2200000.0,21,87,35,8,32,6.0,15.0,70.0,4.0,5.0,9.0,6.0,15.0,15.0,29.0,26.0,,11.0,,13.0,,19.0,26.0
23,Minnesota,minnesota,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy| Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion| Parental consent or notice is required for a minor's abortion| Only physicians can provide abortions and not other qualified health care professionals| State Medicaid funds cover abortion |Protections for patients and abortion clinic staff",11060,10.2,1200000.0,7,97,61,11,22,7.0,8.0,74.0,6.0,6.0,9.0,5.0,14.0,15.0,30.0,27.0,,16.0,17.0,18.0,,21.0,25.0
24,Mississippi,mississippi,Restrictive,Pre-Roe abortion ban is still in place and can be enforced if Roe is overturned |“Trigger” ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned |Abortion is banned at 20 weeks and later |Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit| Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,3560,6.1,677000.0,1,99,91,3,43,3.0,40.0,52.0,2.0,3.0,8.0,6.0,14.0,15.0,29.0,28.0,,,80.0,90.0,378.0,,499.0
25,Missouri,missouri,Most Restrictive,Abortion is completely banned with very limited exceptions | Patients forced to make two trips—one for in-person counseling and another at least 72 hours later for the abortion |State Medicaid coverage of abortion care is banned except in very limited circumstances|Private health insurance of abortion is banned except in very limited circumstances |Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit |Parental consent or notice is required for a minor's abortion| Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,170,0.1,1400000.0,3,97,78,5,32,5.0,12.0,74.0,3.0,7.0,8.0,6.0,14.0,15.0,30.0,27.0,,,,,44.0,,155.0
26,Montana,montana,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy| Parental consent or notice is required for a minor's abortion|State Medicaid funds cover abortion |Qualified health care professionals, not solely physicians, can provide abortions |Protections for patients and abortion clinic staff",1630,8.2,225000.0,5,93,56,3,35,5.0,0.0,81.0,1.0,12.0,7.0,5.0,16.0,14.0,29.0,28.0,,22.0,49.0,77.0,232.0,569.0,667.0
27,Nebraska,nebraska,Restrictive,Abortion is banned at 22 weeks and later |Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Private health insurance of abortion is banned except in very limited circumstances |Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,2200,5.9,422000.0,3,97,40,11,28,13.0,5.0,73.0,4.0,5.0,9.0,6.0,15.0,16.0,29.0,25.0,,,,10.0,51.0,377.0,397.0
28,Nevada,nevada,Some Restrictions/Protections,Abortion is banned at 24 weeks and later |State Medicaid coverage of abortion care is banned except in very limited circumstances |Only physicians can provide abortions and not other qualified health care professionals|Protections for patients and abortion clinic staff,11010,17.9,720000.0,7,88,9,22,33,34.0,9.0,40.0,9.0,8.0,8.0,5.0,13.0,16.0,29.0,29.0,,7.0,8.0,9.0,,11.0,238.0
29,New Hampshire,new-hampshire,Some Restrictions/Protections,"Abortion is banned at 24 weeks and later |State Medicaid coverage of abortion care is banned except in very limited circumstances | Parental consent or notice is required for a minor's abortion |Qualified health care professionals, not solely physicians, can provide abortions",2050,8.3,289000.0,4,60,30,7,18,5.0,2.0,86.0,4.0,4.0,9.0,6.0,14.0,13.0,30.0,28.0,,12.0,,17.0,58.0,59.0,215.0
30,New Jersey,new-jersey,Protective,"Abortion is not restricted based on gestational age| State Medicaid funds cover abortion| Qualified health care professionals, not solely physicians, can provide abortions",48830,29.2,200000.0,41,33,26,27,23,24.0,14.0,47.0,12.0,4.0,9.0,5.0,13.0,14.0,29.0,29.0,,5.0,6.0,8.0,,13.0,16.0
31,New Mexico,new-mexico,Protective,"Abortion is not restricted based on gestational age|State Medicaid funds cover abortion |Qualified health care professionals, not solely physicians, can provide abortions",5880,14.7,466000.0,6,91,48,10,39,54.0,2.0,29.0,2.0,13.0,9.0,5.0,14.0,15.0,30.0,26.0,,24.0,,37.0,,64.0,423.0
32,New York,new-york,Protective,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy| State Medicaid funds cover abortion |Private health insurance plans are required to cover abortion |Qualified health care professionals, not solely physicians, can provide abortions |Protections for patients and abortion clinic staff",110360,28.8,4400000.0,113,39,8,24,29,21.0,14.0,49.0,10.0,5.0,7.0,5.0,14.0,16.0,31.0,27.0,,3.0,4.0,5.0,8.0,9.0,10.0
33,North Carolina,north-carolina,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy |Patients forced to wait 72 hours after counseling (not required to be in-person) to obtain an abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances |Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit |Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards |Protections for patients and abortion clinic staff",31850,15.3,2400000.0,14,91,53,11,33,11.0,23.0,57.0,4.0,6.0,8.0,6.0,15.0,15.0,28.0,29.0,,,18.0,26.0,27.0,,335.0
34,North Dakota,north-dakota,Restrictive,“Trigger” ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned |Abortion is banned at 22 weeks and later | Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances|Private health insurance of abortion is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit| Parental consent or notice is required for a minor's abortion| Only physicians can provide abortions and not other qualified health care professionals | Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,1170,7.8,168000.0,1,98,72,7,31,4.0,4.0,78.0,3.0,11.0,8.0,6.0,18.0,14.0,29.0,25.0,,,,165.0,326.0,399.0,402.0
35,Ohio,ohio,Very Restrictive,Abortion is banned at 6 weeks and later | Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion |State Medicaid coverage of abortion care is banned except in very limited circumstances | Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals| Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,20990,9.5,2600000.0,9,93,55,6,32,5.0,13.0,74.0,3.0,5.0,8.0,6.0,14.0,15.0,29.0,28.0,19.0,,120.0,149.0,,157.0,195.0
36,Oklahoma,oklahoma,Most Restrictive,Abortion is completely banned with very limited exceptions | Patients forced to wait 72 hours after counseling (not required to be in-person) to obtain an abortion |State Medicaid coverage of abortion care is banned except in very limited circumstances |Private health insurance of abortion is banned except in very limited circumstances |Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit |Parental consent or notice is required for a minor's abortion| Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,9690,12.4,903000.0,4,96,53,8,38,13.0,7.0,59.0,3.0,18.0,8.0,6.0,15.0,15.0,29.0,27.0,,,,180.0,181.0,500.0,512.0
37,Oregon,oregon,Most Protective,"Abortion is not restricted based on gestational age |State Medicaid funds cover abortion |Private health insurance plans are required to cover abortion |Qualified health care professionals, not solely physicians, can provide abortions|State fund helps patients pay for abortion care |Protections for patients and abortion clinic staff",8560,10.3,961000.0,16,78,23,12,29,16.0,1.0,69.0,6.0,8.0,8.0,5.0,14.0,15.0,30.0,29.0,,7.0,11.0,29.0,35.0,,36.0
38,Pennsylvania,pennsylvania,Restrictive,Abortion is banned at 24 weeks and later |Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion |State Medicaid coverage of abortion care is banned except in very limited circumstances |Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,32270,13.6,2800000.0,18,85,48,9,28,10.0,11.0,70.0,5.0,5.0,8.0,6.0,14.0,15.0,30.0,27.0,,11.0,14.0,20.0,28.0,29.0,84.0
39,Rhode Island,rhode-island,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy |State Medicaid coverage of abortion care is banned except in very limited circumstances |Parental consent or notice is required for a minor's abortion |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards",2760,13.3,242000.0,2,60,22,17,27,20.0,6.0,64.0,5.0,5.0,8.0,9.0,13.0,15.0,28.0,27.0,,7.0,,8.0,18.0,46.0,149.0
40,South Carolina,south-carolina,Very Restrictive,Abortion is banned at 6 weeks and later |Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion|State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion| Only physicians can provide abortions and not other qualified health care professionals|  Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,5300,5.3,1200000.0,4,93,71,7,32,6.0,28.0,59.0,2.0,5.0,8.0,6.0,14.0,15.0,29.0,28.0,23.0,,74.0,102.0,107.0,427.0,492.0
41,South Dakota,south-dakota,Most Restrictive,Abortion is completely banned with very limited exceptions | Patients forced to make two trips—one for in-person counseling and another at least 72 hours later for the abortion| State Medicaid coverage of abortion care is banned except in very limited circumstances |Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit |Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,130,0.8,190000.0,1,98,76,4,31,3.0,2.0,78.0,1.0,15.0,9.0,7.0,16.0,13.0,29.0,26.0,,190.0,,191.0,220.0,277.0,290.0
42,Tennessee,tennessee,Very Restrictive,Abortion is banned at 6 weeks and later | “Trigger” ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned | State constitution explicitly excludes abortion rights |Patients forced to make two trips—one for in-person counseling and another at least 48 hours later for the abortion|State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals,10850,8.1,1600000.0,8,96,63,6,33,6.0,17.0,69.0,3.0,5.0,8.0,5.0,14.0,16.0,29.0,28.0,,26.0,27.0,29.0,236.0,,320.0
43,Texas,texas,Very Restrictive,Abortion is banned at 6 weeks and later | Pre-Roe abortion ban is still in place and can be enforced if Roe is overturned | “Trigger” ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned | Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Private health insurance of abortion is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth | Parental consent or notice is required for a minor’s abortion | Only physicians can provide abortions and not other qualified health care professionals | Medication abortion is restricted through unnecessary regulations | Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,58030,9.5,700000.0,21,96,43,19,33,43.0,12.0,36.0,6.0,4.0,9.0,6.0,14.0,15.0,30.0,27.0,,,,250.0,547.0,705.0,786.0
44,Utah,utah,Restrictive,“Trigger” ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned |Patients forced to make two trips—one for in-person counseling and another at least 72 hours later for the abortion|State Medicaid coverage of abortion care is banned except in very limited circumstances |Private health insurance of abortion is banned except in very limited circumstances|Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,3120,4.4,812000.0,3,97,63,10,25,15.0,1.0,75.0,3.0,5.0,10.0,6.0,16.0,15.0,27.0,25.0,,,,30.0,33.0,416.0,652.0
45,Vermont,vermont,Protective,"Abortion is not restricted based on gestational age|State Medicaid funds cover abortion| Qualified health care professionals, not solely physicians, can provide abortions",1230,10.7,131000.0,6,64,38,6,27,2.0,1.0,88.0,4.0,4.0,7.0,9.0,15.0,12.0,30.0,26.0,,16.0,38.0,40.0,97.0,201.0,285.0
46,Virginia,virginia,Some Restrictions/Protections,"Abortion is banned starting at the third trimester|State Medicaid coverage of abortion care is banned except in very limited circumstances |Parental consent or notice is required for a minor's abortion |Qualified health care professionals, not solely physicians, can provide abortions",18740,11.0,200000.0,16,93,80,15,24,11.0,19.0,55.0,8.0,6.0,8.0,6.0,14.0,14.0,30.0,28.0,,,,14.0,27.0,,113.0
47,Washington,washington,Protective,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy|State Medicaid funds cover abortion|Private health insurance plans are required to cover abortion |Qualified health care professionals, not solely physicians, can provide abortions |Protections for patients and abortion clinic staff",17980,11.7,1800000.0,40,59,10,19,25,15.0,4.0,60.0,12.0,9.0,7.0,5.0,13.0,16.0,32.0,27.0,,6.0,10.0,14.0,20.0,,21.0
48,West Virginia,west-virginia,Restrictive,Pre-Roe abortion ban is still in place and can be enforced if Roe is overturned | Abortion is banned at 22 weeks and later | State constitution explicitly excludes abortion rights|Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion| State Medicaid coverage of abortion care is banned except in very limited circumstances| Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit| Parental consent or notice is required for a minor's abortion|Only physicians can provide abortions and not other qualified health care professionals,990,3.1,367000.0,1,98,90,2,39,2.0,2.0,90.0,1.0,5.0,8.0,6.0,14.0,14.0,27.0,31.0,,,64.0,65.0,126.0,167.0,283.0
49,Wisconsin,wisconsin,Restrictive,Pre-Roe abortion ban is still in place and can be enforced if Roe is overturned | Abortion is banned at 22 weeks and later |Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion| State Medicaid coverage of abortion care is banned except in very limited circumstances |Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit|Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards |Protections for patients and abortion clinic staff,6960,6.4,1300000.0,3,97,70,7,26,9.0,7.0,76.0,4.0,4.0,8.0,6.0,14.0,14.0,30.0,27.0,,34.0,,37.0,77.0,125.0,242.0
